ime_film,datum_izdavanja,ocjena,trajanje_min,ime_zarn,ime_drzava,ime_redatelj,prezime_redatelj,ime_glumac,prezime_glumac,ime_nagrada,datum_osvajanja,box_office,budzet
Interstellar,2014-09-05,8.6,196,sci-fi,United Kingdom,Christopher,Nolan,Jessica,Chastain,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United Kingdom,Christopher,Nolan,Jessica,Chastain,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United States,Christopher,Nolan,Jessica,Chastain,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United States,Christopher,Nolan,Jessica,Chastain,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United States,Christopher,Nolan,Jessica,Chastain,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Avatar,2009-12-10,7.8,162,avanturistièki,United States,James,Cameron,Sam,Worthington,Academy Award for Best Visual Effects,2009-02-22,292400000,237000000
Avatar,2009-12-10,7.8,162,fikcija,United States,James,Cameron,Sam,Worthington,Academy Award for Best Visual Effects,2009-02-22,292400000,237000000
Avatar,2009-12-10,7.8,162,avanturistièki,United States,James,Cameron,Zoe,Saldana,Academy Award for Best Visual Effects,2009-02-22,292400000,237000000
Avatar,2009-12-10,7.8,162,fikcija,United States,James,Cameron,Zoe,Saldana,Academy Award for Best Visual Effects,2009-02-22,292400000,237000000
Avatar,2009-12-10,7.8,162,avanturistièki,United States,James,Cameron,Sigourney,Weaver,Academy Award for Best Visual Effects,2009-02-22,292400000,237000000
Avatar,2009-12-10,7.8,162,fikcija,United States,James,Cameron,Sigourney,Weaver,Academy Award for Best Visual Effects,2009-02-22,292400000,237000000
Harry Potter and the Philosophers Stone,2001-11-04,7.6,152,fikcija,United States,Chris,Columbus,Daniel,Radcliffe,Best Family Film,2002-01-11,192400000,125000000
Harry Potter and the Philosophers Stone,2001-11-04,7.6,152,fikcija,United Kingdom,Chris,Columbus,Daniel,Radcliffe,Best Family Film,2002-01-11,192400000,125000000
Harry Potter and the Philosophers Stone,2001-11-04,7.6,152,fikcija,United States,Chris,Columbus,Rupert,Grint,Best Family Film,2002-01-11,192400000,125000000
